id,accountId,userId,deptId,entered,dayDate,shift,chargecount,techcount,aptechcount,seccount,sittercount,antecount,ldcount,ocount,acs,am1,awcm,obed,obed1,ev,scs,cr,pt,ccs,ps1,pp,avariance,lvariance,nvariance,note,atotal,ltotal,aproductivity,lproductivity,nproductivity,oneto1,oneto2,oneto3,oneto4,oneto5,oneto6,oneto7,whpPlan,skill1val,skill2val,skill3val,skill4val,skill5val,skill6val,addResourceHrs,twoto1,procedureCount,actualWHP,actualWHPimport,plannedHours,plannedProcs,admits,transfers,discharges,customChurn,budgetValue,churnValue,visits,totalHours,customNurse,otherNurse2,otherNurse1,oneto8,oneto9,hrsVariance,hrsVarianceActual,activeRecord,censusTotal,planSubmitted,nid,enterpriseId,accountName,prodIndicator,displayProd,prodMeasure,inshiftProd,modalPage,hppd,dept,shiftsperDay,thresholdHigh,rnThreshold,activeDept,thresholdLow,newDate,escalationNote,escalationType,escalationId,viewPage,shiftName,first_init,last_name
107010,19,364,229,"2019-09-12 01:20:06",2019-09-12,26,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,4,0,0.00,0.00,79.20,1,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,5.000,0.000,1,0,0,107010,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,p,
107025,19,0,229,"0000-00-00 00:00:00",2019-09-12,14,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107025,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00pm,,
107076,19,0,274,"0000-00-00 00:00:00",2019-09-12,52,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107076,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,,
107077,19,0,274,"0000-00-00 00:00:00",2019-09-12,42,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107077,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00am,,
107079,19,0,274,"0000-00-00 00:00:00",2019-09-12,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107079,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107078,19,0,274,"0000-00-00 00:00:00",2019-09-12,18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107078,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00pm,,
107030,19,365,230,"2019-09-12 02:04:47",2019-09-12,52,1.0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,18,0,0.00,0.00,104.40,0,0,0,0,18,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,-2.200,0.000,1,0,0,107030,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,p,
107031,19,365,230,"2019-09-12 06:56:14",2019-09-12,38,1.0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,19,0,0.00,0.00,98.40,0,0,0,0,19,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.900,0.000,1,0,0,107031,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00am,p,
107033,19,0,230,"0000-00-00 00:00:00",2019-09-12,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107033,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107032,19,0,230,"0000-00-00 00:00:00",2019-09-12,14,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107032,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00pm,,
